PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103213979,275733,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=C(C3=C(C=C2)N=C(N=C3N)N)Cl,Active,,,,0.0038,IC50,=,3.8,nM
2,103217523,136046100,C1=CC(=CC=C1C(=O)NC(CCCN)C(=O)O)NCC2=C(C3=C(C=C2)N=C(NC3=O)N)Cl,Active,,,,0.43,IC50,=,430,nM
3,103217569,136056633,C1=CC(=CC=C1C(=O)NC(CCCN)C(=O)O)OCC2=CC3=C(C=C2)N=C(NC3=O)N,Active,,,,0.53,IC50,=,530,nM
4,103217628,14560097,C1=CC(=CC=C1C(=O)NC(CCCN)C(=O)O)NCC2=C(C3=C(C=C2)N=C(N=C3N)N)Cl,Active,,,,0.003,IC50,=,3,nM
5,103217645,136056632,C1=CC(=CC=C1C(=O)NC(CCCN)C(=O)O)OCC2=CC3=C(C=C2)N=CNC3=O,Active,,,,3.8,IC50,=,3800,nM
6,103217680,136056634,C1=CC(=CC=C1C(=O)NC(CCCN)C(=O)O)SCC2=CC3=C(C=C2)N=C(NC3=O)N,Active,,,,1.5,IC50,=,1500,nM
7,103217682,136056635,C1=CC(=CC=C1C(=O)NC(CCCN)C(=O)O)SCC2=CC3=C(C=C2)N=CNC3=O,Active,,,,3.8,IC50,=,3800,nM
8,103218026,136109177,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=C(C3=C(C=C2)N=C(NC3=O)N)Cl,Active,,,,0.1,IC50,=,100,nM
9,103379453,135481470,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)SCC2=CC3=C(C=C2)N=C(NC3=O)N,Active,,,,0.33,IC50,=,330,nM
10,103379499,135471854,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)OCC2=CC3=C(C=C2)N=C(NC3=O)N,Active,,,,0.17,IC50,=,170,nM
11,103426286,136078523,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)SCC2=CC3=C(C=C2)N=CNC3=O,Active,,,,0.65,IC50,=,650,nM
12,103426817,136078526,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)OCC2=CC3=C(C=C2)N=CNC3=O,Active,,,,0.26,IC50,=,260,nM
